model,0,1,2,3,4,5,6,7
0,0.3490,0.8115,0.8630,0.8055,0.8375,0.8400,0.8340,0.7690
1,0.8125,0.3515,0.8340,0.7735,0.8110,0.8105,0.8205,0.8410
2,0.8460,0.8205,0.3520,0.8240,0.8230,0.8290,0.8180,0.7845
3,0.8170,0.7900,0.8130,0.2740,0.8320,0.8070,0.8440,0.8075
4,0.8095,0.8335,0.8470,0.7880,0.2875,0.8305,0.8575,0.8485
5,0.8530,0.8535,0.8325,0.8430,0.8165,0.2895,0.8460,0.8405
6,0.8205,0.8315,0.8475,0.8540,0.8400,0.8580,0.3520,0.8020
7,0.7940,0.7705,0.8245,0.7905,0.7995,0.8140,0.8120,0.0250
