model,0,1,2,3,4,5,6,7
0,0.1260,0.4430,0.5010,0.4850,0.4760,0.4965,0.4645,0.4350
1,0.5040,0.0790,0.4725,0.5285,0.5500,0.5420,0.4870,0.4600
2,0.5455,0.4945,0.1455,0.5460,0.5675,0.5820,0.4990,0.5435
3,0.5585,0.5470,0.5450,0.1345,0.5570,0.5720,0.5535,0.5890
4,0.4590,0.4920,0.4710,0.4865,0.0635,0.4960,0.4745,0.4275
5,0.4870,0.4820,0.4785,0.4970,0.5030,0.1025,0.4885,0.4870
6,0.5625,0.5675,0.5250,0.5880,0.6140,0.6230,0.1330,0.5820
7,0.4440,0.4025,0.4755,0.5275,0.4515,0.5045,0.4565,0.0780
