model,0,1,2,3,4,5,6,7
0,0.2395,0.7160,0.6495,0.7110,0.6980,0.7415,0.7200,0.6785
1,0.7245,0.1065,0.6040,0.5730,0.6855,0.6460,0.6905,0.6555
2,0.7435,0.6995,0.1205,0.5845,0.7305,0.7410,0.7075,0.6970
3,0.7775,0.6810,0.5980,0.1010,0.7380,0.6890,0.7150,0.6690
4,0.7065,0.6885,0.6440,0.6800,0.2585,0.7195,0.7150,0.6755
5,0.7250,0.6240,0.6245,0.5515,0.6895,0.1650,0.6845,0.6200
6,0.7210,0.6600,0.5655,0.5655,0.6990,0.6640,0.1715,0.6505
7,0.6975,0.6910,0.6240,0.5865,0.7125,0.6870,0.7055,0.1030
