model,0,1,2,3,4,5,6,7
0,0.0005,0.5600,0.6920,0.6990,0.6215,0.6865,0.7170,0.6730
1,0.4955,0.0005,0.7720,0.7195,0.7065,0.5055,0.7085,0.5440
2,0.7500,0.6885,0.0000,0.6940,0.5560,0.6435,0.6820,0.7620
3,0.7545,0.7300,0.6235,0.0000,0.6165,0.7005,0.6880,0.6625
4,0.6640,0.7420,0.6100,0.6915,0.0015,0.6005,0.5265,0.5610
5,0.6635,0.5440,0.6740,0.6425,0.6160,0.0005,0.6240,0.7640
6,0.7325,0.7465,0.7335,0.6895,0.4925,0.6515,0.0000,0.5880
7,0.6180,0.5755,0.6900,0.6730,0.5175,0.7445,0.5440,0.0000
