model,0,1,2,3,4,5,6,7
0,0.0245,0.0885,0.0510,0.0720,0.0450,0.0320,0.0485,0.0395
1,0.0695,0.0065,0.0200,0.0375,0.0135,0.0100,0.0185,0.0140
2,0.1140,0.0655,0.0005,0.0205,0.0075,0.0020,0.0170,0.0065
3,0.1720,0.1185,0.0205,0.0070,0.0130,0.0110,0.0265,0.0120
4,0.1355,0.0955,0.0150,0.0180,0.0005,0.0025,0.0165,0.0060
5,0.1540,0.0950,0.0175,0.0220,0.0170,0.0075,0.0290,0.0175
6,0.1055,0.0755,0.0185,0.0285,0.0130,0.0075,0.0010,0.0115
7,0.1400,0.0955,0.0125,0.0180,0.0070,0.0035,0.0180,0.0020
