model,0,1,2,3,4,5,6,7
0,0.0865,0.6020,0.5470,0.4850,0.5375,0.4275,0.5995,0.6090
1,0.5150,0.0505,0.3910,0.4305,0.4785,0.3660,0.4400,0.5380
2,0.5770,0.5080,0.0455,0.5175,0.5525,0.4345,0.5850,0.6175
3,0.4260,0.4990,0.4550,0.0455,0.4880,0.4290,0.4935,0.4755
4,0.5565,0.5715,0.5390,0.5345,0.0445,0.3350,0.5485,0.5155
5,0.5465,0.5815,0.5150,0.5740,0.4345,0.0505,0.5165,0.5875
6,0.5520,0.4920,0.5215,0.4945,0.4915,0.3560,0.0765,0.5985
7,0.5545,0.5760,0.5585,0.4760,0.4390,0.4305,0.5980,0.0775
