model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.1725,0.2356,0.7113,0.1925
mlpbceban,0.1456,0.1081,0.6850,0.1769
mlp01scd,0.8931,0.8762,0.3088,0.6812
mlpbcescd,0.8275,0.8294,0.7375,0.4637
