model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.1837,0.2375,0.7525,0.3300
mlpbceban,0.2512,0.1975,0.7719,0.3812
mlp01scd,0.8875,0.8681,0.3912,0.7063
mlpbcescd,0.8475,0.8350,0.7237,0.4144
