model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0100,0.0256,0.3281,0.0162
mlpbceban,0.0137,0.0031,0.2244,0.0025
mlp01scd,0.6919,0.6912,0.0219,0.2112
mlpbcescd,0.6106,0.5913,0.2013,0.0069
