model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0037,0.0094,0.2788,0.0012
mlpbceban,0.0219,0.0000,0.1494,0.0000
mlp01scd,0.5869,0.5775,0.0250,0.4144
mlpbcescd,0.4994,0.3713,0.3281,0.0837
