model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0088,0.0044,0.2062,0.0012
mlpbceban,0.0106,0.0000,0.2056,0.0000
mlp01scd,0.6306,0.6112,0.0237,0.2831
mlpbcescd,0.5275,0.4262,0.3806,0.1031
