model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.1388,0.1900,0.4806,0.1475
mlpbceban,0.0906,0.0037,0.3400,0.0044
mlp01scd,0.6762,0.6556,0.0056,0.1363
mlpbcescd,0.6481,0.5975,0.4000,0.0112
