model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.1363,0.1681,0.6519,0.1612
mlpbceban,0.1094,0.0869,0.6231,0.1044
mlp01scd,0.8512,0.8431,0.1056,0.5356
mlpbcescd,0.8187,0.8112,0.5100,0.0037
