model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0500,0.1869,0.6906,0.2856
mlpbceban,0.1262,0.0581,0.7006,0.3662
mlp01scd,0.8744,0.8519,0.1312,0.6337
mlpbcescd,0.8381,0.8287,0.5387,0.0088
