model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0231,0.0769,0.3562,0.0250
mlpbceban,0.0650,0.0006,0.2469,0.0000
mlp01scd,0.6212,0.6212,0.0012,0.3156
mlpbcescd,0.5756,0.5250,0.2087,0.0000
