model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.1844,0.3281,0.7006,0.2775
mlpbceban,0.2587,0.3006,0.6919,0.3769
mlp01scd,0.8787,0.8612,0.3312,0.6887
mlpbcescd,0.8262,0.8244,0.6656,0.4200
