model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0262,0.0306,0.2919,0.0206
mlpbceban,0.0137,0.0044,0.2169,0.0037
mlp01scd,0.6900,0.6869,0.1025,0.4406
mlpbcescd,0.5562,0.5156,0.3969,0.1863
