model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0125,0.0119,0.2369,0.0044
mlpbceban,0.0106,0.0006,0.2500,0.0006
mlp01scd,0.6306,0.6300,0.0131,0.2750
mlpbcescd,0.5019,0.4400,0.3169,0.1144
