model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0025,0.0006,0.2137,0.0006
mlpbceban,0.0106,0.0000,0.1994,0.0000
mlp01scd,0.6319,0.6175,0.0000,0.3900
mlpbcescd,0.5650,0.4975,0.2512,0.0000
