model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0031,0.0012,0.3287,0.0044
mlpbceban,0.0125,0.0000,0.3700,0.0012
mlp01scd,0.6856,0.6844,0.0019,0.4225
mlpbcescd,0.6262,0.6012,0.2975,0.0006
