model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.2300,0.2300,0.6606,0.2156
mlpbceban,0.2906,0.1450,0.6844,0.2356
mlp01scd,0.8637,0.8525,0.2550,0.7138
mlpbcescd,0.8219,0.8062,0.7075,0.4600
