model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.1825,0.3231,0.6787,0.3113
mlpbceban,0.2219,0.1494,0.6887,0.2481
mlp01scd,0.8631,0.8600,0.0169,0.4150
mlpbcescd,0.8394,0.8425,0.5444,0.0062
