model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0900,0.0800,0.5331,0.0662
mlpbceban,0.0487,0.0275,0.5206,0.0262
mlp01scd,0.8044,0.8125,0.1081,0.3750
mlpbcescd,0.7312,0.7381,0.5637,0.3356
