model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0244,0.0137,0.3212,0.0181
mlpbceban,0.0150,0.0000,0.3575,0.0019
mlp01scd,0.6800,0.6869,0.0619,0.5512
mlpbcescd,0.5969,0.5550,0.4675,0.2144
