model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0475,0.1475,0.6744,0.1962
mlpbceban,0.1475,0.0400,0.7175,0.3075
mlp01scd,0.8681,0.8537,0.2081,0.7350
mlpbcescd,0.8444,0.8312,0.5094,0.0019
