model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0694,0.2350,0.6756,0.2256
mlpbceban,0.1462,0.0750,0.6975,0.3050
mlp01scd,0.8781,0.8606,0.2212,0.6125
mlpbcescd,0.8394,0.8331,0.3844,0.0012
