model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0300,0.0194,0.3487,0.0269
mlpbceban,0.0225,0.0019,0.3312,0.0044
mlp01scd,0.7088,0.7088,0.0737,0.5719
mlpbcescd,0.6225,0.5669,0.4294,0.2031
