model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0737,0.0550,0.5600,0.0325
mlpbceban,0.0975,0.0075,0.5406,0.0069
mlp01scd,0.7756,0.7650,0.0175,0.4469
mlpbcescd,0.7362,0.7006,0.4656,0.0050
