model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.3775,0.3294,0.6269,0.3025
mlpbceban,0.2856,0.1444,0.6200,0.1600
mlp01scd,0.8475,0.8438,0.2081,0.6112
mlpbcescd,0.8094,0.7919,0.7350,0.4394
